Date,App_Name,Category,Minutes_Used
2026-07-20,TikTok,Social Media,162
2026-07-20,Instagram,Social Media,66
2026-07-20,Twitter,Social Media,82
2026-07-20,YouTube,Entertainment,95
2026-07-20,Netflix,Entertainment,83
2026-07-20,VS Code,Coding,240
2026-07-20,Stack Overflow,Coding,184
2026-07-20,Duolingo,Education,6
2026-07-20,Coursera,Education,43
2026-07-21,TikTok,Social Media,175
2026-07-21,Instagram,Social Media,173
2026-07-21,Twitter,Social Media,159
2026-07-21,YouTube,Entertainment,90
2026-07-21,Netflix,Entertainment,112
2026-07-21,VS Code,Coding,175
2026-07-21,Stack Overflow,Coding,66
2026-07-21,Duolingo,Education,26
2026-07-21,Coursera,Education,32
2026-07-22,TikTok,Social Media,137
2026-07-22,Instagram,Social Media,42
2026-07-22,Twitter,Social Media,157
2026-07-22,YouTube,Entertainment,41
2026-07-22,Netflix,Entertainment,60
2026-07-22,VS Code,Coding,201
2026-07-22,Stack Overflow,Coding,188
2026-07-22,Duolingo,Education,14
2026-07-22,Coursera,Education,41
2026-07-23,TikTok,Social Media,157
2026-07-23,Instagram,Social Media,43
2026-07-23,Twitter,Social Media,76
2026-07-23,YouTube,Entertainment,121
2026-07-23,Netflix,Entertainment,127
2026-07-23,VS Code,Coding,217
2026-07-23,Stack Overflow,Coding,199
2026-07-23,Duolingo,Education,12
2026-07-23,Coursera,Education,35
2026-07-24,TikTok,Social Media,46
2026-07-24,Instagram,Social Media,180
2026-07-24,Twitter,Social Media,125
2026-07-24,YouTube,Entertainment,53
2026-07-24,Netflix,Entertainment,119
2026-07-24,VS Code,Coding,235
2026-07-24,Stack Overflow,Coding,224
2026-07-24,Duolingo,Education,9
2026-07-24,Coursera,Education,59
2026-07-25,TikTok,Social Media,21
2026-07-25,Instagram,Social Media,156
2026-07-25,Twitter,Social Media,27
2026-07-25,YouTube,Entertainment,80
2026-07-25,Netflix,Entertainment,38
2026-07-25,VS Code,Coding,50
2026-07-25,Stack Overflow,Coding,24
2026-07-25,Duolingo,Education,22
2026-07-25,Coursera,Education,34
2026-07-26,TikTok,Social Media,149
2026-07-26,Instagram,Social Media,37
2026-07-26,Twitter,Social Media,30
2026-07-26,YouTube,Entertainment,78
2026-07-26,Netflix,Entertainment,57
2026-07-26,VS Code,Coding,42
2026-07-26,Stack Overflow,Coding,5
2026-07-26,Duolingo,Education,28
2026-07-26,Coursera,Education,22
2026-07-27,TikTok,Social Media,84
2026-07-27,Instagram,Social Media,71
2026-07-27,Twitter,Social Media,66
2026-07-27,YouTube,Entertainment,114
2026-07-27,Netflix,Entertainment,42
2026-07-27,VS Code,Coding,105
2026-07-27,Stack Overflow,Coding,102
2026-07-27,Duolingo,Education,56
2026-07-27,Coursera,Education,9
2026-07-28,TikTok,Social Media,98
2026-07-28,Instagram,Social Media,93
2026-07-28,Twitter,Social Media,119
2026-07-28,YouTube,Entertainment,30
2026-07-28,Netflix,Entertainment,102
2026-07-28,VS Code,Coding,173
2026-07-28,Stack Overflow,Coding,60
2026-07-28,Duolingo,Education,33
2026-07-28,Coursera,Education,23
2026-07-29,TikTok,Social Media,139
2026-07-29,Instagram,Social Media,66
2026-07-29,Twitter,Social Media,122
2026-07-29,YouTube,Entertainment,79
2026-07-29,Netflix,Entertainment,105
2026-07-29,VS Code,Coding,201
2026-07-29,Stack Overflow,Coding,156
2026-07-29,Duolingo,Education,44
2026-07-29,Coursera,Education,51
2026-07-30,TikTok,Social Media,35
2026-07-30,Instagram,Social Media,53
2026-07-30,Twitter,Social Media,36
2026-07-30,YouTube,Entertainment,32
2026-07-30,Netflix,Entertainment,33
2026-07-30,VS Code,Coding,141
2026-07-30,Stack Overflow,Coding,232
2026-07-30,Duolingo,Education,41
2026-07-30,Coursera,Education,8
2026-07-31,TikTok,Social Media,141
2026-07-31,Instagram,Social Media,142
2026-07-31,Twitter,Social Media,103
2026-07-31,YouTube,Entertainment,150
2026-07-31,Netflix,Entertainment,52
2026-07-31,VS Code,Coding,225
2026-07-31,Stack Overflow,Coding,72
2026-07-31,Duolingo,Education,4
2026-07-31,Coursera,Education,23
2026-08-01,TikTok,Social Media,155
2026-08-01,Instagram,Social Media,71
2026-08-01,Twitter,Social Media,103
2026-08-01,YouTube,Entertainment,95
2026-08-01,Netflix,Entertainment,40
2026-08-01,VS Code,Coding,37
2026-08-01,Stack Overflow,Coding,34
2026-08-01,Duolingo,Education,40
2026-08-01,Coursera,Education,30
2026-08-02,TikTok,Social Media,116
2026-08-02,Instagram,Social Media,37
2026-08-02,Twitter,Social Media,147
2026-08-02,YouTube,Entertainment,150
2026-08-02,Netflix,Entertainment,59
2026-08-02,VS Code,Coding,54
2026-08-02,Stack Overflow,Coding,33
2026-08-02,Duolingo,Education,43
2026-08-02,Coursera,Education,52
